,Links,Names,Prices,Car Type
0,,,,
1,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9523735/,2021 Tesla Model 3,"$54,980 ","Brampton, ON"
2,http://carpages.ca/used-cars/alberta/airdrie/2019-tesla-model-3-9523684/,2019 Tesla Model 3,"$50,280 ","Airdrie, AB"
3,http://carpages.ca/used-cars/alberta/airdrie/2019-hyundai-ioniq-9523675/,2019 Hyundai IONIQ,"$35,880 ","Airdrie, AB"
4,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9523546/,2021 Tesla Model 3,"$52,980 ","Brampton, ON"
5,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9523543/,2022 Tesla Model 3,"$58,380 ","Saskatoon, SK"
6,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9523540/,2021 Tesla Model 3,"$55,280 ","Airdrie, AB"
7,http://carpages.ca/used-cars/saskatchewan/saskatoon/2018-tesla-model-x-9523525/,2018 Tesla Model X,"$90,780 ","Saskatoon, SK"
8,http://carpages.ca/used-cars/alberta/airdrie/2021-hyundai-kona-9523486/,2021 Hyundai KONA,"$51,280 ","Airdrie, AB"
9,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9523465/,2020 Tesla Model 3,"$52,780 ","Saskatoon, SK"
10,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9523450/,2021 Tesla Model 3,"$56,980 ","Brampton, ON"
11,http://carpages.ca/used-cars/alberta/airdrie/2020-tesla-model-3-9523444/,2020 Tesla Model 3,"$53,280 ","Airdrie, AB"
12,http://carpages.ca/used-cars/ontario/toronto/2012-toyota-prius-v-9523435/,2012 Toyota Prius v,"$18,999 ","Toronto, ON"
13,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9523423/,2022 Tesla Model 3,"$56,880 ","Airdrie, AB"
14,http://carpages.ca/used-cars/alberta/airdrie/2016-tesla-model-s-9523357/,2016 Tesla Model S,"$66,280 ","Airdrie, AB"
15,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9523264/,2022 Tesla Model 3,"$58,280 ","Airdrie, AB"
16,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9523231/,2022 Tesla Model 3,"$56,580 ","Brampton, ON"
17,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9523180/,2022 Tesla Model 3,"$57,880 ","Airdrie, AB"
18,http://carpages.ca/used-cars/alberta/airdrie/2019-hyundai-kona-9523171/,2019 Hyundai KONA,"$49,880 ","Airdrie, AB"
19,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9523147/,2021 Tesla Model 3,"$53,980 ","Brampton, ON"
20,http://carpages.ca/used-cars/ontario/brampton/2019-hyundai-kona-9523087/,2019 Hyundai KONA,"$49,580 ","Brampton, ON"
21,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-tesla-model-x-9522937/,2019 Tesla Model X,"$101,780 ","Saskatoon, SK"
22,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9522838/,2020 Tesla Model 3,"$52,780 ","Saskatoon, SK"
23,http://carpages.ca/used-cars/ontario/brampton/2018-tesla-model-3-9522766/,2018 Tesla Model 3,"$48,580 ","Brampton, ON"
